PUBorough,PUZone,trips,p50_$per_min
Queens,Flushing Meadows-Corona Park,7280,2.4203612479474548
Manhattan,Randalls Island,3095,1.9378342832091189
Queens,Maspeth,3189,1.881145584725537
Manhattan,Yorkville West,816867,1.5579831932773107
Queens,South Jamaica,6830,1.541750959190792
Queens,Briarwood/Jamaica Hills,5800,1.5357142857142858
Queens,Corona,3632,1.5263157894736843
Queens,Baisley Park,16157,1.5023236852833266
Queens,East Elmhurst,14312,1.489539748953975
Queens,JFK Airport,1248879,1.4829778672032194
